# Extended wordlist for batch discovery
# ~500 common words across Romance + Germanic languages

amor,love,amar,amore,amour,liebe
bonito,bonito,bonito,bon,bon
belo,bello,bello,bel,beau,schon
grande,grand,gran,great,gross
pequeno,pequeno,pequeno,petit,klein
bom,bien,bueno,good,gut
mau,bad,malo,bad,bose
novo, nouveau,nuevo,new,neu
velho,viejo,old,alt
claro,clair,clear,hell
escuro,oscuro,dark,dunkel
frio,froid,cold,kalt
quente,caliente,hot,heiss
doce,dulce,sweet,suss
amargo,amer,bitter,bitter
forte,fort,strong,stark
fraco,faible,weak,schwach
feliz,heureux,happy,glucklich
triste,triste,sad,traurig
vida,vida,life,leben
morte,muerte,death,sterben
luz,luz,light,licht
casa,casa,house,haus
tempo,temps,time,zeit
dia, jour,day,tag
noite,nuit,night,nacht
pessoa,personne,person,person
homem,homme,man,mann
mulher,femme,woman,frau
crianca,enfant,child,kind
pai,papa,father,vater
mae, mere,mother,mutter
filho,hijo,son,sohn
filha,hija,daughter,tochter
irmao,hermano,brother,bruder
irma,hermana,sister,schwester
amigo,amigo,friend,freund
inimigo,enemigo,enemy,feind
trabalho,travail,work,arbeit
casa,casa,house,haus
cidade,ciudad,city,stadt
pais,pays,country,land
mundo,monde,world,welt
natureza,naturaleza,nature,natur
sol,soleil,sun,sonne
lua, lune,moon,mond
estrela,etoile,star,stern
agua,agua,water,wasser
fogo,fuego,fire,feuer
ar,aire,air,luft
terra,tierra,earth,erde
mar,mer,sea,meer
rio,rio,river,fluss
montanha,montana,mountain,berg
flor,fleur,flower,blume
arvore,arbol,tree,baum
animal,animal,animal,tier
homem,homme,man,mensch
mulher,femme,woman,frau
voz,voz,voice,stimme
olho,ojo,eye,auge
mao,mano,hand,hand
pe,pie,foot,fuss
coracao,corazon,heart,herz
alma,alma,soul,seele
pensamento,pensee,thought,gedanke
palavra,palabra,word,wort
lingua,lengua,language,sprache
livro,livre,book,buch
papel,papel,paper,papier
mesa,mesa,table,tisch
cadeira,silla,chair,stuhl
porta,puerta,door,tur
janela,ventana,window,fenster
rua,calle,street,strasse
caminho,camino,way,weg
ponte,puente,bridge,brucke
estrada,carretera,road,strasse
trem,tren,train,zug
carro,coche,car,auto
barco,barco,ship,schiff
aviao,avion,plane,flugzeug
chuva,lluvia,rain,regen
vento,viento,wind,wind
fogo,fuego,fire,feuer
agua,agua,water,wasser
terra,tierra,earth,erde
pedra,piedra,stone,stein
areia,arena,sand,sand
poeira,polvo,dust,staub
céu,cielo,sky,himmel
inferno,infierno,hell,hölle
paraíso,paraiso,paradise,paradies
verdade,vérité,truth,wahrheit
mentira,mentira,lie,lüge
justicia,justicia,justice,gerechtigkeit
lei,ley,law,gesetz
direito,derecho,right,recht
dever,deber,duty,pflich
poder,poder,power,macht
querer,querer,want,wollen
saber,saber,know,wissen
poder,poder,can,können
dever,dever,should,sollen
sentir,sentir,feel,fühlen
ver,voir,see,sehen
ouvir,oir,hear,hören
falar,hablar,speak,sprechen
escrever,escribir,write,schreiben
ler,leer,read,lesen
contar,contar,count,zählen
medir,medir,measure,messen
pesar,pesar,weigh,wiegen
caminhar,caminar,walk,gehen
correr,correr,run,rennen
voar,volar,fly,fliegen
nadar,nadar,swim,schwimmen
dormir,dormir,sleep,schlafen
sonhar,sonar,dream,träumen
acordar,despertar,wake,aufwachen
viver,vivir,live,leben
morrer,morir,die,sterben
nascer,nacer,born,geboren
crescer,crecer,grow,wachsen
mudar,cambiar,change,ändern
parar,parar,stop,stoppen
começar,empezar,start,anfangen
continuar,continuar,continue,fortsetzen
terminar,terminar,finish,enden
esperar,esperar,hope,hoffen
temer,temer,fear,forchten
amar,amar,love,lieben
odiar,odiar,hate,hassen
querer,querer,want,wollen
gostar,gustar,like,mögen
